id;create_at;update_at;deleted_at;bill_type;bill_id;bill_month;bill_amount;room_id;date;status;bill_cost;customer_id
1;2024-04-20T22:27:55;2024-04-21T02:34:57;2024-04-20T15:35:41;yuck than blushing;occasion;mostly exit into;782;rotten;2024-04-20T15:12:59;justly garnish;28323;amid greedily zowie
2;2024-04-20T10:28:15;2024-04-20T09:10:11;2024-04-20T16:07:23;donate blah underneath;drat;insubstantial huzzah;3602;wrangle thrifty mankind;2024-04-21T01:53:51;sweatshirt;16208;extremely wherever stance
3;2024-04-20T17:16:50;2024-04-20T20:23:56;2024-04-20T14:13:11;atmosphere;even;nor nor;31100;stimulating aw besides;2024-04-20T08:25:14;between upright suburb;25855;wherever cow though
4;2024-04-20T23:11:28;2024-04-20T08:24:55;2024-04-21T03:04:17;yowza;warrior brr;if hope near;10123;far bah huzzah;2024-04-20T18:01:55;gyro;1014;even towards youthful
5;2024-04-20T18:04:52;2024-04-20T07:19:01;2024-04-20T16:09:54;likewise;against perpendicular;oof;13866;phooey freely;2024-04-20T16:27:48;polished once;19126;romaine through pertain
6;2024-04-20T05:43:26;2024-04-20T18:54:21;2024-04-20T13:55:23;since flippant lest;atop furthermore atop;navigate;2951;privatise colorfully;2024-04-20T22:46:34;beside caring honestly;18162;clean supposing jelly
7;2024-04-20T08:37:14;2024-04-20T23:59:18;2024-04-20T22:12:24;encompass;uh-huh truthfully;wet;3765;juice magnificent lobotomise;2024-04-20T12:31:59;or optimistically;22798;divvy unbearably through
8;2024-04-20T13:28:28;2024-04-20T19:23:44;2024-04-21T03:39:59;nutritious aw that;um;ew;19702;beside er;2024-04-20T10:02:29;shepherd by before;13360;husk yowza jaggedly
9;2024-04-20T23:06:54;2024-04-20T12:56:54;2024-04-20T22:00:45;correctly wake nice;an;kindly bustling;1039;quarrelsomely sane do;2024-04-20T22:51:27;confess;23650;surprise
10;2024-04-20T23:53:20;2024-04-20T11:39:21;2024-04-21T00:00:07;frequent brightly;clean deficit;about;20854;roast weak soon;2024-04-21T03:54:14;diligently;27571;gosh gee
