id;create_at;update_at;deleted_at;fee_type;fee_desc;fee_month;fee_cost;date;status;fee_id
1;2024-04-21T03:21:22;2024-04-20T07:16:14;2024-04-20T11:53:51;brook gladly;along sedately;consign finish exercise;29805;2024-04-20T20:24:17;yoke ingredient wherever;before
2;2024-04-20T18:33:02;2024-04-20T05:01:55;2024-04-20T15:24:59;safely;raiment boo;joyfully huzzah;20265;2024-04-21T01:58:09;parched;as ack
3;2024-04-20T11:39:02;2024-04-20T14:16:09;2024-04-21T03:21:52;worth design;hopeful few seller;wetly anenst ouch;8659;2024-04-20T17:27:07;remit;provided wherever helpfully
4;2024-04-20T06:06:24;2024-04-21T01:55:43;2024-04-20T20:20:29;id wordy;and;scarecrow;29744;2024-04-21T02:43:05;beside what bellow;astonish sill
5;2024-04-20T19:08:30;2024-04-20T07:25:01;2024-04-20T18:42:06;sacrifice shoehorn;drat reluctantly;but alongside knowledgeably;19964;2024-04-20T06:07:06;ha;doubtfully whenever
6;2024-04-20T05:19:14;2024-04-21T03:20:07;2024-04-20T16:18:07;inasmuch;fondly cheap;phooey quintessential hop;3562;2024-04-20T08:13:59;via;rigid joshingly
7;2024-04-20T14:28:21;2024-04-20T23:24:30;2024-04-20T09:31:30;sociable cheapen single;aha growing scrummage;quarterly drat conjecture;24680;2024-04-20T16:31:55;ick psst geez;heavy circa sadly
8;2024-04-20T15:27:54;2024-04-20T18:35:28;2024-04-21T03:48:56;provided;rocker bravely ugh;masculine but;17867;2024-04-20T05:53:32;google nor yippee;consignment memorable
9;2024-04-20T05:31:52;2024-04-20T06:34:11;2024-04-20T22:18:58;duh;busily bah favorite;pencil championship failing;32634;2024-04-20T09:54:05;scrutiny;beret
10;2024-04-20T18:56:42;2024-04-20T12:38:43;2024-04-21T01:26:48;modulo;round geez fatigues;pish briefly;7782;2024-04-21T00:05:30;while;medical up
